# Data Set (v1): ML-CUP17-TR
# Nov 2017
# ML-CUP17
# INFO: micheli@di.unipi.it
# (C) CIML group - Gallicchio, Micheli 2017
# 
# Format:
# Training set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,target_x,target_y
# Blind Test set: id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10

38,0.519389,0.481937,0.877788,-0.859186,-1.103839,-0.594630,1.736445,0.256089,-1.162075,-0.773823,16.168072,-18.059409
39,-0.672380,-0.812921,-0.966430,1.287683,0.926617,0.724979,-0.869237,-0.716562,1.409065,1.293030,6.807122,-12.709369
40,0.152691,1.157515,1.353715,-1.553761,-1.103839,-0.971661,0.539240,1.285954,-1.341457,-1.118299,21.709012,-15.099636
41,0.336040,0.988620,0.044915,-1.490618,-1.342716,-2.008496,0.257544,2.029746,-1.221869,-1.738355,26.110661,-12.753543
42,0.061016,-0.925518,-0.847448,1.287683,0.866898,-0.311856,-0.798814,-0.830991,1.050302,0.948555,5.756162,-10.773069
43,-0.305682,-0.700325,-0.668975,0.277392,0.687740,1.007752,-0.869237,-1.345924,1.110095,0.948555,6.693270,-12.527645
44,-0.122333,-0.644027,-0.371521,1.224540,0.090547,0.819237,-0.024151,-0.430488,0.631744,0.535184,8.689027,-16.261234
45,-0.855729,-0.644027,-1.323375,0.466821,0.389144,0.159432,-1.221357,-1.117065,1.229683,0.535184,4.109496,-7.767622
46,-0.030658,-1.094412,-0.371521,1.413969,1.046056,-0.500372,-0.587542,-1.403138,0.811126,1.224135,7.347596,-13.685308
47,-0.764055,-1.038114,-1.144902,0.845680,1.284933,-0.217599,-1.714324,-0.830991,0.691538,0.672974,3.242172,-6.137523
48,1.802833,0.313042,0.223388,0.466821,0.090547,1.761814,0.961783,0.256089,0.512156,0.328499,11.454418,-20.447000
49,-0.397357,-0.812921,-1.085412,0.529964,0.986337,1.007752,-0.376270,-1.231494,0.691538,1.775296,7.023371,-13.121195
50,1.252786,0.256744,1.056260,-1.301188,-0.924681,-0.783145,1.666021,0.599377,-1.162075,-1.118299,16.817757,-17.706980
51,0.519389,-1.150710,-0.668975,0.277392,1.284933,1.479041,-0.446694,-0.659347,0.571950,-0.222662,7.487267,-13.966551
52,0.336040,-0.475132,-0.549994,0.529964,1.046056,1.573298,-1.291781,-0.602132,1.050302,1.706401,8.547882,-15.971184
53,1.802833,0.650831,0.699315,-0.480327,-0.506646,0.159432,1.243478,0.427733,-1.221869,-0.153767,12.813139,-19.763896
54,1.069437,1.044918,0.996769,-0.796043,-1.223277,-0.217599,1.736445,0.256089,-1.102281,-0.980509,16.129521,-18.066429
55,-0.855729,-1.150710,-0.966430,1.540256,0.150267,-1.254434,-1.503052,-1.117065,1.409065,0.466289,4.346696,-8.204101
56,-0.305682,-1.150710,-0.728466,1.287683,0.986337,0.724979,-0.446694,-0.487703,1.050302,1.086345,7.037129,-13.116689
57,0.061016,1.157515,0.937279,-1.301188,-1.521874,-1.065918,0.539240,1.572028,-1.401251,-1.118299,24.947648,-13.373560
58,1.619484,0.707129,0.877788,0.151105,-0.685804,1.573298,0.820935,0.084445,0.272980,0.466289,11.114417,-20.469622
59,-0.672380,-0.475132,-0.431012,1.287683,1.165495,0.253690,-1.996019,-0.945421,1.110095,1.706401,7.193206,-13.417109
60,-1.772475,-1.432201,-1.204393,0.403678,0.448863,-0.029083,-1.643900,-1.345924,1.409065,0.328499,1.643144,-3.091135
61,0.152691,1.382708,0.520842,-1.238045,-0.864962,-1.160176,0.187120,1.400384,-1.341457,-0.980509,23.517349,-14.139603
62,0.702738,-0.925518,-0.371521,0.845680,1.105775,0.819237,-0.305847,-0.430488,0.033804,1.361925,7.435516,-13.861439
63,2.352881,0.707129,0.996769,-0.164611,-0.446927,1.196267,1.384326,0.313304,-0.085784,-0.567138,14.300826,-18.991711
64,-0.214007,-0.362536,-0.014576,0.466821,0.269705,1.856072,0.539240,-0.201629,0.153392,0.741869,9.198366,-17.243611
65,0.886087,0.425639,1.056260,-0.796043,-0.805242,-0.123341,1.454750,0.484948,-0.863105,-1.324984,15.768682,-18.237382
66,1.252786,-0.587729,-0.252539,0.529964,0.568302,2.044587,-0.164999,-0.373273,0.571950,0.879659,9.989241,-18.738813
67,2.169532,0.425639,1.056260,-0.669756,0.030828,-0.029083,0.750511,0.599377,-0.324959,0.397394,12.255168,-20.040659
68,0.061016,-0.362536,-0.252539,0.782537,0.628021,1.007752,-0.446694,-0.716562,0.751332,1.568611,8.923133,-16.723563
69,-1.039079,1.833093,0.461352,-0.859186,-0.924681,-0.783145,0.468816,1.285954,-1.102281,-1.393879,23.441791,-14.179329
70,1.619484,1.101217,1.115751,-0.985472,-0.805242,-0.311856,1.313902,0.771022,-0.922899,-0.291557,15.765664,-18.243761
71,-0.580706,1.270111,0.401861,-1.427475,-1.521874,-1.725722,0.327968,2.029746,-0.982693,-1.118299,25.436759,-13.121394
72,0.244365,-0.700325,-0.728466,1.350826,1.404372,1.007752,-0.446694,-0.945421,0.392568,1.568611,7.780016,-14.516101
73,-0.397357,1.157515,0.580333,-1.616904,-1.163558,-1.348691,0.539240,2.029746,-1.281663,-1.876145,26.127580,-12.751167
74,-0.764055,-1.319605,-1.263884,0.593108,1.284933,-1.254434,-0.939661,-1.403138,-1.042487,-0.084872,2.561118,-4.793360
75,-0.397357,1.833093,0.877788,-1.238045,-1.521874,-0.500372,0.257544,1.285954,-1.221869,-0.842718,23.917288,-13.924028
76,-0.947404,-0.475132,-0.906939,1.098253,0.687740,0.536463,-0.939661,-0.945421,0.631744,1.430820,7.962867,-14.881374
77,0.794413,0.369340,0.401861,0.214248,0.150267,1.573298,0.398392,0.484948,-0.564135,0.535184,10.342541,-19.468206
78,-1.039079,-1.150710,-1.085412,1.161396,1.404372,0.253690,-1.080509,-0.888206,1.409065,0.672974,4.546620,-8.555260
79,-0.947404,1.270111,0.937279,-0.796043,-0.805242,-0.971661,0.257544,1.629243,-1.162075,-1.393879,25.662316,-12.995392
80,-0.672380,-0.869219,-1.680320,0.782537,1.284933,0.347948,-0.728390,-0.773776,0.930714,1.361925,6.945007,-12.970045
81,1.619484,1.044918,1.115751,-0.543470,-0.984400,-0.500372,1.102630,0.656592,-1.102281,-0.429348,15.703254,-18.278279
82,1.069437,0.313042,1.115751,0.277392,-0.148330,1.573298,0.187120,-0.544917,0.033804,0.948555,10.167541,-19.056102
83,0.977762,1.044918,1.175242,-0.417184,-0.924681,-0.688887,1.595597,-0.029985,-0.982693,-0.842718,17.121334,-17.539739
84,1.619484,0.369340,0.758806,-0.101468,-0.028891,1.007752,1.102630,-0.373273,-0.025990,-0.291557,12.272853,-20.049416
85,-0.122333,-0.700325,-0.668975,0.908824,0.866898,1.007752,-1.010085,-0.830991,1.229683,1.361925,6.237786,-11.666357
86,1.436135,0.256744,0.639824,-1.048616,0.209986,1.761814,0.609663,0.427733,0.512156,0.328499,10.447373,-19.609807
87,-1.222428,-0.869219,-1.263884,1.540256,0.986337,-1.348691,-0.939661,-0.830991,1.349271,0.879659,3.866577,-7.312487
88,1.619484,0.538235,0.758806,-0.417184,-0.984400,-0.217599,1.454750,0.542163,-0.504341,-0.153767,15.257513,-18.502171
89,1.619484,0.087849,0.758806,0.087962,-0.745523,-0.123341,1.313902,0.427733,-0.743517,-0.360453,14.783952,-18.743040
90,1.436135,0.256744,1.234733,-0.543470,-0.506646,-0.029083,1.595597,0.484948,-0.803311,-1.118299,15.298194,-18.512309
91,0.152691,0.763428,1.472697,-1.364332,-1.103839,-0.877403,1.454750,0.599377,-1.162075,-1.187194,19.399084,-16.328615
92,-0.305682,-1.038114,-0.609484,1.413969,0.986337,0.442206,-0.657966,-1.117065,0.512156,1.637506,6.055981,-11.339953
93,0.061016,-0.249940,0.163897,0.214248,0.389144,0.065175,0.187120,-0.144414,0.392568,1.568611,9.510822,-17.833029
94,-0.489031,-1.150710,-0.966430,0.845680,1.404372,0.159432,-0.869237,-1.231494,1.468859,0.741869,4.541347,-8.541584
95,1.802833,0.538235,0.461352,0.024819,-0.148330,0.724979,0.820935,0.542163,-1.102281,0.397394,12.221472,-20.049915
96,0.061016,-0.812921,0.163897,1.287683,0.209986,1.950329,0.257544,-0.830991,0.512156,0.259603,9.147850,-17.132902
97,1.252786,0.313042,0.580333,0.214248,0.269705,0.347948,0.609663,0.713807,0.452362,0.672974,10.795325,-20.266903
98,-0.397357,-1.094412,-1.680320,0.656251,1.105775,0.724979,-0.939661,-0.830991,0.033804,0.672974,2.623646,-4.947528
99,-0.672380,-1.375903,-1.204393,1.098253,0.807179,0.065175,-1.503052,-1.345924,1.528653,0.672974,3.498899,-6.611911
100,-0.489031,-1.207009,-1.323375,1.287683,1.284933,-0.029083,-1.855171,-0.888206,0.571950,0.672974,3.530967,-6.705337
101,0.702738,0.988620,1.353715,-0.796043,-1.282997,-0.217599,2.018140,0.942666,-0.564135,-0.429348,16.520263,-17.858440
102,2.352881,0.594533,1.115751,-0.164611,-0.566365,-1.254434,1.384326,-0.544917,-0.444547,-0.567138,13.159059,-19.577136
103,-0.122333,-1.038114,-0.966430,1.287683,1.046056,1.573298,-1.010085,-1.002635,0.930714,1.086345,6.635464,-12.386440
104,-1.497451,-0.925518,-0.728466,1.413969,1.464091,0.159432,-1.291781,-1.174280,0.691538,0.190708,3.574819,-6.751833
105,-0.305682,-1.263307,-0.371521,1.224540,0.807179,0.253690,-0.517118,-1.231494,0.571950,1.017450,6.269076,-11.704273
106,0.427715,1.157515,1.175242,-1.111759,-1.342716,-1.442949,1.595597,1.057095,-0.982693,-0.980509,18.902019,-16.594216
107,2.077857,-0.418834,0.401861,0.340535,-0.208049,1.573298,0.539240,0.427733,-0.324959,0.259603,12.666333,-19.838762
108,-0.305682,1.495304,0.818297,-1.680048,-0.984400,-1.442949,0.398392,1.343169,-1.162075,-1.531669,22.181088,-14.853316
109,1.711159,0.200446,0.461352,-1.301188,-0.685804,-0.311856,1.595597,0.484948,-0.564135,-0.842718,14.547328,-18.868307
110,-0.030658,-1.319605,-0.609484,1.161396,1.225214,0.253690,-0.869237,-1.174280,0.870920,1.568611,7.190995,-13.420622
111,-1.130753,-0.587729,-0.966430,1.161396,0.508582,0.159432,-1.150933,-1.002635,0.631744,1.361925,7.980122,-14.902792
112,-1.405777,-1.038114,-1.085412,0.277392,0.568302,-0.217599,-1.080509,-1.403138,0.811126,0.328499,1.677072,-3.156306
113,0.977762,-0.193641,-0.252539,0.529964,0.508582,0.536463,-0.164999,-0.830991,-0.145578,1.293030,9.878696,-18.521774
114,-0.305682,-1.488499,-0.847448,1.540256,0.986337,0.347948,-0.869237,-0.659347,0.930714,0.604079,6.129669,-11.449871
115,-0.489031,-1.432201,-0.847448,1.540256,0.389144,1.007752,-0.305847,-0.830991,0.990508,0.672974,7.290979,-13.630303
116,-1.039079,-1.038114,-1.799302,0.845680,0.926617,-0.217599,-1.010085,-1.345924,1.409065,0.604079,2.359760,-4.444589
117,1.344460,0.594533,0.163897,0.340535,-0.267769,0.913494,0.609663,0.427733,-0.384753,0.466289,11.844558,-20.290438
118,-0.764055,-1.038114,-0.847448,1.224540,0.687740,0.253690,-1.080509,-0.830991,1.648241,0.810764,4.022955,-7.558083
119,1.986182,0.369340,0.520842,0.529964,-0.088611,1.573298,0.539240,0.427733,0.272980,0.328499,10.380082,-19.495329
120,0.061016,-0.306238,0.223388,0.024819,0.030828,1.761814,0.680087,0.427733,0.512156,0.397394,10.560588,-19.925624
121,2.077857,0.031551,0.044915,0.087962,0.150267,0.253690,0.257544,0.771022,-0.205372,0.604079,11.864841,-20.233505
122,-0.397357,1.495304,0.461352,-1.301188,-1.342716,-0.500372,-1.291781,1.343169,-1.401251,-1.324984,24.795199,-13.455191
123,-0.214007,-0.756623,0.044915,1.098253,0.329424,0.253690,0.257544,-0.716562,0.870920,0.397394,8.682514,-16.256369
124,-0.305682,-0.531430,0.223388,0.593108,0.448863,1.384783,0.327968,-0.373273,0.392568,0.879659,9.218803,-17.269579
125,0.061016,-1.150710,-1.263884,0.908824,1.464091,0.065175,-1.150933,-1.059850,0.153392,0.948555,5.568823,-10.439770
126,-1.405777,-1.319605,-1.204393,0.277392,0.986337,-0.217599,-1.291781,-1.345924,1.767829,0.535184,1.164419,-2.186196
127,-2.139173,-0.812921,-1.025921,0.782537,0.926617,-0.029083,-0.869237,-1.288709,0.990508,0.604079,1.413533,-2.658540
128,0.061016,1.382708,1.234733,-1.616904,-0.984400,-0.783145,1.173054,1.057095,-1.341457,-0.980509,22.533982,-14.658673
129,0.061016,1.101217,1.353715,-1.174902,-1.402435,-0.311856,0.398392,0.542163,-1.341457,-0.980509,20.277855,-15.858501
130,-0.214007,0.988620,-0.133557,-1.364332,-1.342716,-1.914238,-0.235423,1.457598,-1.461045,-1.600565,27.315742,-12.112612
131,1.436135,0.087849,0.877788,0.024819,-0.028891,0.819237,0.468816,0.542163,-0.743517,-1.118299,12.512580,-19.897366
132,-0.764055,1.326409,0.699315,-0.922329,-1.462155,-1.442949,-0.235423,1.858102,-1.221869,-0.980509,25.585628,-13.037861
133,-0.397357,1.157515,0.758806,-1.174902,-1.402435,-1.631465,0.539240,2.086960,-1.341457,-1.600565,26.970575,-12.300982
134,-1.314102,-0.756623,-0.906939,1.350826,1.225214,0.253690,-1.010085,-0.716562,1.468859,0.672974,3.983434,-7.517112
135,-0.947404,1.607900,0.877788,-0.922329,-1.282997,-0.594630,0.046273,1.285954,-1.221869,-1.669460,22.967036,-14.429003
136,-0.489031,-0.925518,-0.966430,1.413969,1.284933,-0.311856,-1.221357,-1.288709,1.528653,0.466289,4.062122,-7.677614
137,-1.864150,1.213813,1.115751,-0.922329,-0.984400,-0.971661,1.032206,1.228739,-1.221869,-1.187194,21.633979,-15.142993
138,1.619484,0.707129,0.401861,0.277392,0.269705,1.761814,0.680087,0.599377,-0.564135,0.810764,10.396124,-19.478328
139,-1.405777,0.256744,0.461352,-1.616904,-1.521874,-0.971661,0.468816,1.972531,-1.162075,-1.669460,26.762602,-12.410130
140,0.152691,-1.038114,-0.787957,0.908824,1.165495,0.536463,-0.728390,-0.487703,0.093598,0.672974,7.284341,-13.575606
141,1.436135,0.313042,1.115751,0.087962,-0.566365,-0.688887,1.102630,0.427733,-0.683723,-0.015977,14.090899,-19.094978
142,-0.397357,-0.812921,-0.490503,1.350826,0.747460,0.819237,-0.798814,-0.773776,0.571950,1.017450,6.397488,-11.928853
143,-0.580706,-0.531430,-0.371521,1.035110,0.747460,1.007752,-0.305847,-1.002635,0.691538,1.706401,8.428117,-15.733664
144,-0.855729,-0.925518,-1.739811,0.340535,1.404372,-0.971661,-1.221357,-1.002635,1.110095,0.741869,2.840904,-5.355562
145,-1.772475,-1.319605,-1.204393,0.529964,0.389144,-0.688887,-0.869237,-1.288709,1.588447,0.397394,1.135492,-2.140359
146,2.169532,0.594533,0.937279,-0.290897,-0.506646,0.159432,1.454750,0.484948,-0.683723,-0.015977,13.617842,-19.347186
147,-0.122333,-1.207009,-0.847448,1.161396,1.464091,0.724979,-0.728390,-0.773776,0.930714,0.741869,6.454597,-12.072812
148,-0.030658,1.495304,1.056260,-1.238045,-1.342716,-0.594630,0.609663,1.285954,-1.221869,-1.393879,21.001979,-15.484501
149,-0.214007,-0.700325,-0.728466,1.098253,1.225214,0.913494,-1.080509,-0.945421,0.990508,0.672974,6.052117,-11.299815
150,-0.397357,-0.925518,-0.966430,0.908824,0.926617,0.159432,-0.939661,-1.231494,0.870920,0.604079,2.604406,-4.919715
151,0.886087,-0.925518,0.104406,-0.354040,0.568302,1.667556,-0.376270,-0.087200,0.093598,0.741869,9.633594,-18.055027
152,-0.397357,-1.038114,-0.966430,0.971967,1.225214,0.536463,-1.503052,-0.659347,0.870920,1.224135,5.435804,-10.199896
153,-1.405777,-0.981816,-0.847448,1.224540,1.046056,0.724979,-0.657966,-0.659347,0.631744,1.086345,8.072771,-15.050877
154,-0.122333,-0.925518,-1.263884,0.971967,1.344653,0.159432,-0.305847,-1.345924,0.691538,0.741869,7.587656,-14.145394
155,1.619484,1.044918,0.996769,-0.922329,-0.566365,-0.311856,0.750511,0.656592,-0.922899,-0.222662,14.931367,-18.676362
156,-0.397357,-0.925518,-1.680320,0.782537,0.448863,-0.029083,-1.010085,-1.345924,1.050302,0.604079,4.951253,-9.272258
157,-0.855729,-1.150710,-0.728466,0.593108,0.926617,0.159432,-0.939661,-1.231494,0.930714,0.397394,1.577180,-2.973789
158,-0.030658,0.819726,0.163897,-0.985472,-1.521874,-1.254434,-0.376270,1.514813,-1.341457,-1.324984,27.261729,-12.147153
159,2.169532,0.707129,0.996769,-0.417184,-0.208049,1.102010,1.313902,0.484948,0.033804,-0.153767,13.571028,-19.365745
160,0.152691,-0.249940,-0.193048,0.656251,0.687740,1.667556,-0.305847,-0.602132,0.631744,0.879659,9.881879,-18.522337
161,-0.764055,-1.150710,-0.966430,0.782537,1.523811,0.159432,-1.150933,-0.773776,1.050302,0.466289,4.552663,-8.566405
162,2.261206,0.538235,0.818297,0.087962,0.508582,1.007752,0.116696,0.313304,0.332774,0.121813,10.546164,-19.919670
163,-0.030658,-0.644027,-0.668975,0.782537,0.926617,1.950329,-0.869237,-0.716562,0.631744,1.293030,8.666797,-16.199334
164,0.336040,-1.038114,-0.609484,0.971967,0.747460,0.819237,-0.657966,-0.659347,0.930714,1.293030,7.301947,-13.620716
165,2.261206,0.538235,0.223388,0.277392,0.508582,1.007752,0.680087,0.313304,0.930714,0.741869,10.802320,-20.246206
166,0.061016,1.101217,0.282879,-1.174902,-1.462155,-0.971661,0.257544,2.201390,-1.341457,-1.256089,26.794237,-12.401720
167,-1.039079,-1.094412,-1.263884,1.035110,0.329424,-0.217599,-1.996019,-1.174280,1.110095,0.328499,3.598682,-6.827845
168,-0.030658,-0.362536,-0.193048,1.161396,0.628021,0.630721,-1.291781,-0.544917,0.452362,1.293030,8.774418,-16.447153
169,-0.305682,1.382708,-0.014576,-1.616904,-0.566365,-0.688887,0.257544,1.400384,-1.281663,-1.049404,24.047473,-13.867232
170,-0.855729,1.833093,0.223388,-0.922329,-1.044120,-1.537207,0.187120,1.400384,-1.102281,-0.980509,22.486685,-14.690522
171,1.802833,0.369340,0.996769,0.277392,0.269705,1.196267,0.680087,0.084445,-0.085784,0.466289,10.331984,-19.469672
172,0.886087,0.425639,0.580333,0.024819,-0.864962,0.253690,1.384326,0.542163,-0.384753,-0.084872,13.918572,-19.154227
173,-1.314102,-0.756623,-0.906939,1.350826,1.225214,0.253690,-1.010085,-0.716562,1.468859,0.672974,3.736580,-7.059660
174,1.436135,0.200446,0.223388,0.277392,0.389144,0.819237,0.187120,0.484948,0.272980,1.293030,10.146750,-19.051572
175,-0.397357,1.326409,1.413206,-1.238045,-1.521874,-0.217599,1.313902,1.285954,-1.281663,-0.911613,19.850500,-16.090494
176,1.161111,0.481937,0.877788,0.466821,-0.028891,1.761814,0.891359,0.771022,-0.265166,0.672974,11.573180,-20.410571
177,-1.039079,-0.756623,-0.966430,1.350826,0.926617,-0.029083,-1.784747,-1.345924,1.468859,0.604079,4.053116,-7.641565
178,-0.672380,-0.981816,-0.966430,0.782537,1.404372,0.159432,-1.432628,-1.231494,1.409065,0.535184,2.253265,-4.257169
179,-0.397357,-1.038114,-0.966430,1.540256,0.687740,0.253690,-1.291781,-1.288709,0.990508,1.293030,6.774167,-12.638887
180,-0.305682,0.538235,0.342370,-1.364332,-1.342716,-1.442949,-0.657966,1.972531,-1.221869,-1.118299,26.776026,-12.401905
181,0.061016,-0.644027,-0.787957,0.845680,0.926617,0.347948,-0.939661,-1.059850,1.528653,1.017450,6.505963,-12.165329
182,-0.030658,0.819726,0.223388,-0.922329,-0.984400,-1.819980,-0.235423,1.858102,-1.401251,-1.118299,26.597283,-12.498252
183,0.061016,1.833093,0.699315,-0.796043,-1.163558,-1.725722,-0.517118,1.400384,-1.341457,-0.980509,23.626043,-14.077434
184,-0.489031,1.044918,0.996769,-1.301188,-1.223277,-0.971661,0.398392,1.629243,-0.803311,-0.842718,25.891358,-12.872397
185,-0.214007,1.157515,0.639824,-1.490618,-1.163558,-0.688887,0.257544,0.828236,-1.341457,-1.600565,22.822850,-14.506304
186,-0.214007,1.044918,0.223388,-1.364332,-1.044120,-1.725722,0.116696,2.029746,-1.221869,-1.393879,26.337430,-12.640784
187,-0.672380,-0.981816,-1.501848,0.277392,0.508582,-0.217599,-1.291781,-1.231494,1.050302,0.672974,4.465852,-8.408407
188,0.702738,-0.869219,-0.193048,0.782537,0.866898,0.819237,-0.446694,-1.059850,0.631744,1.637506,8.452936,-15.792492
189,-1.314102,-0.812921,-1.085412,0.845680,0.389144,-2.197011,-1.291781,-0.659347,0.870920,0.604079,0.898020,-1.713220
190,-0.855729,-1.038114,-1.561339,0.719394,1.284933,-0.029083,-1.573476,-0.830991,0.571950,0.879659,3.327668,-6.286903
191,0.061016,1.044918,0.461352,-0.606613,-1.044120,-1.254434,0.750511,1.400384,-1.102281,-1.738355,24.438641,-13.662725
192,0.152691,0.819726,1.472697,-0.985472,-1.402435,-0.406114,1.173054,-0.029985,-1.042487,-0.911613,17.652929,-17.261195
193,-0.305682,-0.700325,-0.014576,0.656251,0.687740,1.761814,-0.305847,-0.487703,0.213186,1.361925,9.445957,-17.686744
194,0.152691,0.988620,0.877788,-1.174902,-1.103839,-0.688887,1.313902,0.942666,-1.221869,-1.462774,18.056176,-17.050459
195,1.252786,0.369340,1.115751,-0.985472,-0.864962,-0.123341,1.595597,0.828236,-1.162075,-1.049404,16.363006,-17.946083
196,1.344460,0.876024,1.056260,-0.038324,0.090547,1.573298,-0.798814,-0.659347,0.392568,0.879659,10.723998,-20.126524
197,-0.580706,-0.812921,-1.442357,1.224540,1.344653,0.159432,-1.432628,-0.945421,0.930714,0.604079,5.005082,-9.364253
198,0.061016,-0.869219,-0.847448,1.161396,0.986337,0.630721,-1.925595,-0.487703,0.213186,0.948555,7.256876,-13.535471
199,1.252786,0.876024,0.877788,-0.354040,-1.103839,-0.406114,1.806869,0.313304,-1.221869,-1.393879,17.274492,-17.454869
200,-0.672380,-0.700325,-1.085412,0.719394,1.344653,0.159432,-1.573476,-1.117065,1.169889,0.604079,1.885944,-3.570754
201,-1.130753,-1.094412,-1.204393,0.340535,0.628021,-0.688887,-1.080509,-1.345924,1.349271,0.397394,2.728840,-5.161101
